params_key,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_optimizer__lr,param_module__num_units_2,param_module__num_units_1,param_batch_size,params,split0_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,mean_train_score,std_train_score,agent,best_epochs,test_mean_poisson_deviance,test_weighted_mean_poisson_deviance,test_pde,test_weighted_pde,test_r^2,test_gini,test_min_pred,test_max_pred,test_mean_pred,test_var_pred
0.002_20_10_1000,36.71940612792969,0.0,0.01763772964477539,0.0,0.002,20,10,1000,"{'optimizer__lr': 0.002, 'module__num_units_2': 20, 'module__num_units_1': 10, 'batch_size': 1000}",0.049217785209439424,0.049217785209439424,0.0,14,0.06420909082338322,0.06420909082338322,0.0,8,150,0.3036363352822344,0.3516036507079325,0.04935949603215117,0.03270430317155004,0.018563686939719992,0.23631718874913887,0.004069097805768251,1.5397279262542725,0.055150297,0.0018900643
0.01_20_10_5000,31.82480788230896,0.0,0.019590139389038086,0.0,0.01,20,10,5000,"{'optimizer__lr': 0.01, 'module__num_units_2': 20, 'module__num_units_1': 10, 'batch_size': 5000}",0.04529447241738105,0.04529447241738105,0.0,15,0.05549547426063106,0.05549547426063106,0.0,8,150,0.3036363352822344,0.3516036507079325,0.04935949603215117,0.03270430317155004,0.018563686939719992,0.23631718874913887,0.004069097805768251,1.5397279262542725,0.055150297,0.0018900643
0.01_10_10_1000,34.27960705757141,0.0,0.017152070999145508,0.0,0.01,10,10,1000,"{'optimizer__lr': 0.01, 'module__num_units_2': 10, 'module__num_units_1': 10, 'batch_size': 1000}",0.028811416216192876,0.028811416216192876,0.0,16,0.09352817451699702,0.09352817451699702,0.0,8,150,0.3036363352822344,0.3516036507079325,0.04935949603215117,0.03270430317155004,0.018563686939719992,0.23631718874913887,0.004069097805768251,1.5397279262542725,0.055150297,0.0018900643
0.01_10_15_1000,36.79358696937561,0.0,0.018405675888061523,0.0,0.01,10,15,1000,"{'optimizer__lr': 0.01, 'module__num_units_2': 10, 'module__num_units_1': 15, 'batch_size': 1000}",0.024147317751220698,0.024147317751220698,0.0,17,0.11183101103924853,0.11183101103924853,0.0,8,150,0.3036363352822344,0.3516036507079325,0.04935949603215117,0.03270430317155004,0.018563686939719992,0.23631718874913887,0.004069097805768251,1.5397279262542725,0.055150297,0.0018900643
0.001_10_15_5000,32.043548822402954,0.0,0.0196533203125,0.0,0.001,10,15,5000,"{'optimizer__lr': 0.001, 'module__num_units_2': 10, 'module__num_units_1': 15, 'batch_size': 5000}",0.022529192059625558,0.022529192059625558,0.0,18,0.029006380720471014,0.029006380720471014,0.0,8,150,0.3036363352822344,0.3516036507079325,0.04935949603215117,0.03270430317155004,0.018563686939719992,0.23631718874913887,0.004069097805768251,1.5397279262542725,0.055150297,0.0018900643
0.002_15_20_10000,34.61307907104492,0.0,0.018388986587524414,0.0,0.002,15,20,10000,"{'optimizer__lr': 0.002, 'module__num_units_2': 15, 'module__num_units_1': 20, 'batch_size': 10000}",0.02189027943177746,0.02189027943177746,0.0,19,0.02924726381003273,0.02924726381003273,0.0,8,150,0.3036363352822344,0.3516036507079325,0.04935949603215117,0.03270430317155004,0.018563686939719992,0.23631718874913887,0.004069097805768251,1.5397279262542725,0.055150297,0.0018900643
0.001_20_20_5000,31.757772207260132,0.0,0.018707752227783203,0.0,0.001,20,20,5000,"{'optimizer__lr': 0.001, 'module__num_units_2': 20, 'module__num_units_1': 20, 'batch_size': 5000}",0.020996282781935438,0.020996282781935438,0.0,20,0.0325255251979486,0.0325255251979486,0.0,8,150,0.3036363352822344,0.3516036507079325,0.04935949603215117,0.03270430317155004,0.018563686939719992,0.23631718874913887,0.004069097805768251,1.5397279262542725,0.055150297,0.0018900643
0.01_10_15_500,33.241230964660645,0.0,0.01953291893005371,0.0,0.01,10,15,500,"{'optimizer__lr': 0.01, 'module__num_units_2': 10, 'module__num_units_1': 15, 'batch_size': 500}",0.019634550094713377,0.019634550094713377,0.0,21,0.12131814815244257,0.12131814815244257,0.0,8,150,0.3036363352822344,0.3516036507079325,0.04935949603215117,0.03270430317155004,0.018563686939719992,0.23631718874913887,0.004069097805768251,1.5397279262542725,0.055150297,0.0018900643
0.01_20_10_500,35.90645384788513,0.0,0.023540973663330078,0.0,0.01,20,10,500,"{'optimizer__lr': 0.01, 'module__num_units_2': 20, 'module__num_units_1': 10, 'batch_size': 500}",0.012953629836998992,0.012953629836998992,0.0,22,0.1035457033204299,0.1035457033204299,0.0,8,150,0.3036363352822344,0.3516036507079325,0.04935949603215117,0.03270430317155004,0.018563686939719992,0.23631718874913887,0.004069097805768251,1.5397279262542725,0.055150297,0.0018900643
0.01_20_15_500,36.333006858825684,0.0,0.020312070846557617,0.0,0.01,20,15,500,"{'optimizer__lr': 0.01, 'module__num_units_2': 20, 'module__num_units_1': 15, 'batch_size': 500}",0.00276166507048603,0.00276166507048603,0.0,23,0.13904407001797792,0.13904407001797792,0.0,8,150,0.3036363352822344,0.3516036507079325,0.04935949603215117,0.03270430317155004,0.018563686939719992,0.23631718874913887,0.004069097805768251,1.5397279262542725,0.055150297,0.0018900643
0.002_10_20_10000,35.327221155166626,0.0,0.020901918411254883,0.0,0.002,10,20,10000,"{'optimizer__lr': 0.002, 'module__num_units_2': 10, 'module__num_units_1': 20, 'batch_size': 10000}",0.0021483826798103234,0.0021483826798103234,0.0,24,0.012699097926764269,0.012699097926764269,0.0,8,150,0.3036363352822344,0.3516036507079325,0.04935949603215117,0.03270430317155004,0.018563686939719992,0.23631718874913887,0.004069097805768251,1.5397279262542725,0.055150297,0.0018900643
0.01_15_20_1000,37.42292809486389,0.0,0.018702030181884766,0.0,0.01,15,20,1000,"{'optimizer__lr': 0.01, 'module__num_units_2': 15, 'module__num_units_1': 20, 'batch_size': 1000}",-0.0011834770480030343,-0.0011834770480030343,0.0,25,0.15251938659583042,0.15251938659583042,0.0,8,150,0.3036363352822344,0.3516036507079325,0.04935949603215117,0.03270430317155004,0.018563686939719992,0.23631718874913887,0.004069097805768251,1.5397279262542725,0.055150297,0.0018900643
0.001_10_20_10000,34.891770124435425,0.0,0.020210981369018555,0.0,0.001,10,20,10000,"{'optimizer__lr': 0.001, 'module__num_units_2': 10, 'module__num_units_1': 20, 'batch_size': 10000}",-0.006472462321290173,-0.006472462321290173,0.0,26,0.0004962458977673112,0.0004962458977673112,0.0,8,150,0.3036363352822344,0.3516036507079325,0.04935949603215117,0.03270430317155004,0.018563686939719992,0.23631718874913887,0.004069097805768251,1.5397279262542725,0.055150297,0.0018900643
0.001_20_10_10000,34.85655403137207,0.0,0.018126726150512695,0.0,0.001,20,10,10000,"{'optimizer__lr': 0.001, 'module__num_units_2': 20, 'module__num_units_1': 10, 'batch_size': 10000}",-0.013298973860071062,-0.013298973860071062,0.0,27,-0.0018589282705472332,-0.0018589282705472332,0.0,8,150,0.3036363352822344,0.3516036507079325,0.04935949603215117,0.03270430317155004,0.018563686939719992,0.23631718874913887,0.004069097805768251,1.5397279262542725,0.055150297,0.0018900643
0.001_10_15_10000,34.64819407463074,0.0,0.018475055694580078,0.0,0.001,10,15,10000,"{'optimizer__lr': 0.001, 'module__num_units_2': 10, 'module__num_units_1': 15, 'batch_size': 10000}",-0.01585618424790236,-0.01585618424790236,0.0,28,-0.0025646469408646677,-0.0025646469408646677,0.0,8,150,0.3036363352822344,0.3516036507079325,0.04935949603215117,0.03270430317155004,0.018563686939719992,0.23631718874913887,0.004069097805768251,1.5397279262542725,0.055150297,0.0018900643
0.01_20_20_1000,37.85099172592163,0.0,0.019854068756103516,0.0,0.01,20,20,1000,"{'optimizer__lr': 0.01, 'module__num_units_2': 20, 'module__num_units_1': 20, 'batch_size': 1000}",-0.025221547551093515,-0.025221547551093515,0.0,29,0.1682921933733168,0.1682921933733168,0.0,8,150,0.3036363352822344,0.3516036507079325,0.04935949603215117,0.03270430317155004,0.018563686939719992,0.23631718874913887,0.004069097805768251,1.5397279262542725,0.055150297,0.0018900643
0.01_10_20_500,30.853374004364014,0.0,0.017628908157348633,0.0,0.01,10,20,500,"{'optimizer__lr': 0.01, 'module__num_units_2': 10, 'module__num_units_1': 20, 'batch_size': 500}",-0.03113220498461855,-0.03113220498461855,0.0,30,0.15032064770052633,0.15032064770052633,0.0,8,150,0.3036363352822344,0.3516036507079325,0.04935949603215117,0.03270430317155004,0.018563686939719992,0.23631718874913887,0.004069097805768251,1.5397279262542725,0.055150297,0.0018900643
